,_unit_id,civilians,militants_terrorists_insurgents,security_forces,districtmatch,eventid,report_date,state_full,svmlabel1,svmlabel1prob,verb
119,711601462,0.0,7.0,0.0,jammu,1266,4/16/00,Jammu and Kashmir,terrorist,0.9792185259999999,killed
120,711601463,0.0,3.0,0.0,udhampur,1267,4/16/00,Jammu and Kashmir,terrorist,0.9925406259999999,killed
121,711601464,0.0,2.0,0.0,pulwama,1268,4/16/00,Jammu and Kashmir,terrorist,0.982415939,killed
122,711601465,0.0,1.0,0.0,kupwara,1270,4/16/00,Jammu and Kashmir,terrorist,0.987558467,killed
123,711601466,0.0,1.0,0.0,poonch,1271,4/16/00,Jammu and Kashmir,terrorist,0.9792185259999999,killed
124,711601467,0.0,1.0,0.0,pulwama,1276,4/16/00,Jammu and Kashmir,terrorist,0.9658564609999999,arrested
125,711601468,0.0,4.0,0.0,hyderabad,1280,4/16/00,,civilian,0.8476388159999999,killed
126,711601469,0.0,7.0,0.0,dantewada,1281,4/16/00,,civilian,0.824358319,surrendered
127,711601470,,,2.0,jalpaiguri,1282,4/16/00,West Bengal,civilian,0.58889178,injured
128,711601471,0.0,1.0,0.0,anantnag,1292,4/17/00,Jammu and Kashmir,terrorist,0.9792185259999999,killed
129,711601472,0.0,2.0,0.0,kupwara,1296,4/17/00,Jammu and Kashmir,terrorist,0.983039262,killed
130,711601473,0.0,5.0,0.0,kupwara,1296,4/17/00,Jammu and Kashmir,terrorist,0.984093298,killed
131,711601474,0.0,0.0,2.0,anantnag,1297,4/17/00,Jammu and Kashmir,security,0.998136568,injured
132,711601475,0.0,2.0,0.0,rajouri,1298,4/17/00,Jammu and Kashmir,terrorist,0.983039262,killed
133,711601476,0.0,1.0,0.0,badgam,1300,4/17/00,Jammu and Kashmir,terrorist,0.9792185259999999,arrested
134,711601477,2.0,0.0,0.0,pulwama,1301,4/17/00,Jammu and Kashmir,civilian,0.8879573270000001,killed
135,711601478,0.0,4.0,0.0,jammu,1327,4/18/00,Jammu and Kashmir,terrorist,0.9792185259999999,killed
136,711601479,0.0,0.0,11.0,jammu,1327,4/18/00,Jammu and Kashmir,security,0.987637731,injured
137,711601480,0.0,2.0,0.0,adilabad,1337,4/18/00,Andhra Pradesh,terrorist,0.7344050999999999,killed
138,711601481,0.0,0.0,2.0,west tripura,1339,4/18/00,Tripura,security,0.987637731,killed
139,711601482,0.0,0.0,17.0,west tripura,1339,4/18/00,Tripura,civilian,0.707255539,injured
140,711601483,0.0,4.0,0.0,hyderabad,1340,4/18/00,Andhra Pradesh,civilian,0.9699266120000001,arrested
141,711601484,,4.0,,jammu,1362,4/19/00,Jammu and Kashmir,terrorist,0.9792185259999999,killed
142,711601485,0.0,0.0,7.0,jammu,1362,4/19/00,Jammu and Kashmir,security,0.987637731,injured
143,711601486,0.0,1.0,0.0,baramullah,1363,4/19/00,Jammu and Kashmir,civilian,0.620034292,killed
144,711601487,0.0,0.0,2.0,bandipora,1367,4/19/00,Jammu and Kashmir,security,0.987637731,injured
145,711601488,0.0,1.0,0.0,dhalai,1373,4/19/00,,terrorist,0.9401339120000001,killed
146,711601489,4.0,0.0,4.0,jammu,1385,4/20/00,Jammu and Kashmir,security,0.9696438959999999,injuring
147,711601490,4.0,0.0,0.0,poonch,1391,4/20/00,Jammu and Kashmir,civilian,0.707255539,killed
148,711601491,2.0,0.0,0.0,poonch,1391,4/20/00,Jammu and Kashmir,civilian,0.707255539,killed
149,711601492,11.0,0.0,0.0,karbi anglong,1411,4/21/00,,civilian,0.872025432,killing
150,711601493,10.0,,,jammu,1417,4/21/00,Jammu and Kashmir,civilian,0.774558953,killed
151,711601494,0.0,1.0,0.0,jammu,1417,4/21/00,Jammu and Kashmir,civilian,0.706197608,injured
152,711601495,,2.0,,udhampur,1421,4/21/00,Jammu and Kashmir,terrorist,0.9792185259999999,killed
153,711601496,0.0,0.0,1.0,rajouri,1422,4/21/00,Jammu and Kashmir,security,0.998136568,killed
154,711601497,0.0,2.0,0.0,rajouri,1424,4/21/00,Jammu and Kashmir,terrorist,0.9792185259999999,killed
155,711601498,,1.0,,doda,1425,4/21/00,Jammu and Kashmir,terrorist,0.987246793,arrested
156,711601499,0.0,11.0,2.0,jammu,1443,4/22/00,Jammu and Kashmir,security,0.997058873,killed
157,711601500,0.0,4.0,0.0,doda,1445,4/22/00,Jammu and Kashmir,terrorist,0.9792185259999999,killed
158,711601501,,3.0,,anantnag,1448,4/22/00,Jammu and Kashmir,terrorist,0.9952182740000001,killed
159,711601502,0.0,0.0,1.0,kupwara,1452,4/22/00,Jammu and Kashmir,security,0.998136568,killed
160,711601503,0.0,0.0,2.0,balaghat,1472,4/22/00,Madhya Pradesh,security,0.443174396,killing
161,711601504,0.0,0.0,1.0,balaghat,1472,4/22/00,Madhya Pradesh,civilian,0.707255539,injuring
162,711601505,0.0,1.0,0.0,poonch,1485,4/24/00,Jammu and Kashmir,terrorist,0.995324897,killed
163,711601506,0.0,0.0,3.0,doda,1491,4/24/00,Jammu and Kashmir,security,0.998136568,injured
164,711601507,0.0,2.0,0.0,anantnag,1492,4/24/00,Jammu and Kashmir,terrorist,0.991820569,arrested
165,711601508,0.0,2.0,0.0,adilabad,1496,4/24/00,Andhra Pradesh,terrorist,0.8636347759999999,arrested
166,711601509,6.0,0.0,0.0,karbi anglong,1513,4/25/00,Assam,civilian,0.770560035,killing
167,711601510,,,1.0,jammu,1515,4/25/00,Jammu and Kashmir,security,0.998790118,killed
168,711601511,0.0,0.0,4.0,jammu,1515,4/25/00,Jammu and Kashmir,security,0.9982596290000001,injured
169,711601512,0.0,1.0,0.0,rajouri,1516,4/25/00,Jammu and Kashmir,terrorist,0.987246793,killed
170,711601513,0.0,1.0,0.0,budgam,1523,4/25/00,Jammu and Kashmir,terrorist,0.9883042,arrested
171,711601514,0.0,1.0,0.0,kamrup,1528,4/25/00,,terrorist,0.671156268,arrested
172,711601515,0.0,1.0,0.0,nagaon,1529,4/25/00,,civilian,0.9556634690000001,arrested
173,711601516,5.0,0.0,0.0,jammu,1536,4/26/00,Jammu and Kashmir,civilian,0.895373713,killed
174,711601517,0.0,6.0,0.0,nalgonda,1551,4/27/00,Andhra Pradesh,civilian,0.62802264,killed
175,711601518,0.0,0.0,5.0,jammu,1553,4/27/00,,security,0.998515259,killed
176,711601519,0.0,0.0,5.0,jammu,1553,4/27/00,,terrorist,0.668518614,injured
177,711601520,0.0,12.0,0.0,warangal,1580,4/28/00,Andhra Pradesh,terrorist,0.556308171,killed
178,711601521,0.0,6.0,0.0,jammu,1581,4/28/00,Jammu and Kashmir,terrorist,0.9792185259999999,killed
179,711601522,0.0,4.0,0.0,rajouri,1582,4/28/00,Jammu and Kashmir,terrorist,0.9792185259999999,killed
180,711601523,0.0,2.0,0.0,rajouri,1582,4/28/00,Jammu and Kashmir,terrorist,0.984093298,killed
181,711601524,2.0,0.0,0.0,poonch,1585,4/28/00,Jammu and Kashmir,civilian,0.9659409170000001,killed
182,711601525,3.0,0.0,0.0,baramulla,1586,4/28/00,Jammu and Kashmir,civilian,0.926757554,killed
183,711601526,0.0,4.0,0.0,nalbari,1593,4/28/00,Assam,terrorist,0.9923897309999999,killed
184,711601527,1.0,0.0,0.0,gaya,1595,4/28/00,Bihar,civilian,0.895373713,killed
185,711601528,1.0,0.0,0.0,gaya,1595,4/28/00,Bihar,civilian,0.707255539,injured
186,711601529,0.0,2.0,0.0,jorhat,1597,4/28/00,Assam,terrorist,0.99908227,arrested
187,711601530,,1.0,,dibrugarh,1598,4/28/00,Assam,terrorist,0.988911995,surrendered
188,711601531,0.0,1.0,0.0,dibrugarh,1598,4/28/00,Assam,terrorist,0.988911995,arrested
189,711601532,0.0,11.0,0.0,nalbari,1599,4/28/00,Assam,civilian,0.7440687290000001,surrendered
190,711601533,1.0,7.0,1.0,jammu,1606,4/29/00,Jammu and Kashmir,security,0.997730107,killed
191,711601534,1.0,0.0,0.0,baramulla,1610,4/29/00,Jammu and Kashmir,civilian,0.9268093629999999,killed
192,711601535,1.0,0.0,0.0,baramulla,1610,4/29/00,Jammu and Kashmir,civilian,0.707255539,injured
193,711601536,0.0,6.0,0.0,karimnagar,1618,4/29/00,Andhra Pradesh,civilian,0.868782156,surrendered
194,711601537,0.0,2.0,0.0,morigaon,1621,4/29/00,Assam,terrorist,0.9918038709999999,arrested
195,711601538,0.0,6.0,0.0,morigaon,1622,4/29/00,Assam,terrorist,0.998949786,surrendered
196,711601539,2.0,0.0,0.0,shopian,1626,05-01-2000,Jammu and Kashmir,civilian,0.78258662,injured
197,711601540,2.0,,,anantnag,1629,05-01-2000,Jammu and Kashmir,civilian,0.9268093629999999,injured
198,711601541,0.0,1.0,0.0,srinagar,1633,05-01-2000,Jammu and Kashmir,civilian,0.745139835,killed
199,711601542,0.0,1.0,0.0,doda,1635,05-01-2000,Jammu and Kashmir,terrorist,0.9792185259999999,killed
200,711601543,0.0,0.0,3.0,doda,1638,05-01-2000,Jammu and Kashmir,security,0.993259021,killed
201,711601544,0.0,2.0,0.0,jammu,1641,05-01-2000,Jammu and Kashmir,terrorist,0.992864518,killed
202,711601545,0.0,1.0,0.0,doda,1646,05-01-2000,Jammu and Kashmir,civilian,0.9198063209999999,arrested
203,711601546,2.0,0.0,0.0,west tripura,1678,05-02-2000,,civilian,0.865371687,killed
204,711601547,0.0,0.0,1.0,srinagar,1708,05-03-2000,Jammu and Kashmir,security,0.9839083340000001,killed
205,711601548,0.0,2.0,0.0,kathua,1709,05-03-2000,Jammu and Kashmir,terrorist,0.880655805,arrested
206,711601549,1.0,0.0,0.0,bandipore,1711,05-03-2000,Jammu and Kashmir,civilian,0.9268093629999999,killed
207,711601550,1.0,0.0,0.0,bandipore,1711,05-03-2000,Jammu and Kashmir,civilian,0.707255539,injured
208,711601551,0.0,3.0,1.0,bandipora,1730,05-04-2000,Jammu and Kashmir,security,0.997056527,killed
209,711601552,0.0,0.0,1.0,bandipora,1730,05-04-2000,Jammu and Kashmir,security,0.998136568,injured
210,711601553,0.0,1.0,0.0,kupwara,1731,05-04-2000,Jammu and Kashmir,terrorist,0.979224543,killed
211,711601554,0.0,2.0,1.0,baramulla,1749,05-05-2000,Jammu and Kashmir,security,0.997056527,killed
212,711601555,1.0,0.0,0.0,doda,1751,05-05-2000,Jammu and Kashmir,civilian,0.964880255,killed
